CityStateTownCode
nashville-tn
baton%20rouge-la
columbia-sc
norman-ok
louisville-ky
fayetteville-ar
tallahassee-fl
clemson-sc
knoxville-tn
pine%20bluff-ar
oxford-ms
coral%20gables-fl
raleigh-nc
fort%20worth-tx
iowa%20city-ia
storrs-ct
berkeley%20-ca
chapel%20hill-nc
palo%20alto-ca
bloomington-in
austin-tx
state%20college-pa
los%20angeles-ca
berkeley%20-ca
pittsburgh-pa
philadephia-pa
college%20station-tx
long%20beach-ca
tuscaloosa-al
tucson-az
blacksburg-va
south%20bend-in
lexington-ky
columbus-oh
starkville-ms
eugene-or
lincoln-ne
pittsburgh-pa
ames-ia
charlotte-nc
atlanta-ga
madison-wi
los%20angeles-ca
tempe-az
minneapolis-mn
lawrence-ks
omaha-ne
west%20lafayette-in
dallas-tx
houston-tx
manhattan-ks
houston-tx
wichita-ks
auburn-al
corvallis-or
salt%20lake%20city-ut
gainesville-fl
ann%20arbor-mi
columbia-mo
moraga-ca
new%20brunswick-nj
charlottesville-va
washington%20d.c.-wa
providence-ri
newton-ma
santa%20barbara-ca
durham-nc
evanston-il
youngstown-oh
harrisonburg-va
mobile-al
morgantown-wv
malibu-ca
lafayette-la
san%20antonio-tx
hammond-la
seattle-wa
athens-ga
oklahoma%20city-ok
orlando-fl
baltimore-md
petersburg-fl
san%20jose-ca
rolla-mo
