Sport,PlayerRank,PlayerName,PlayerHomeTown,StarRating,PlayerPosition,PlayerStatus,TotalFollowersOnSocialMedia,On3NilValuation,RankingAvailable,AlternativePlayerlink
Football,12,Sam Hartman,"Oceanside Collegiate AcademyMount Pleasant, SC",85.63,QB,,118K,$1.1M,"<a class=""MuiTypography-root MuiLink-root MuiLink-underlineHover MuiTypography-colorPrimary"" href=""/college/notre-dame-fighting-irish/football/2018/industry-comparison-commits/""><img alt=""notre dame fighting irish Avatar"" class=""NilPlayerRankingItem_statusLogo__h2SDo"" height=""30"" loading=""lazy"" src=""https://on3static.com/uploads/assets/123/150/150123.svg"" title=""notre dame fighting irish"" width=""30""/></a>",NA
Football,13,Blake Corum,"St. Frances AcademyLaurel, MD",93.42,RB,SR,176K,$1.1M,"<a class=""MuiTypography-root MuiLink-root MuiLink-underlineHover MuiTypography-colorPrimary"" href=""/college/michigan-wolverines/football/2020/industry-comparison-commits/""><img alt=""michigan wolverines Avatar"" class=""NilPlayerRankingItem_statusLogo__h2SDo"" height=""30"" loading=""lazy"" src=""https://on3static.com/uploads/assets/39/150/150039.svg"" title=""michigan wolverines"" width=""30""/></a>",NA
Football,14,Spencer Rattler,"PinnaclePhoenix, AZ",97.85,QB,,592K,$956K,"<a class=""MuiTypography-root MuiLink-root MuiLink-underlineHover MuiTypography-colorPrimary"" href=""/college/south-carolina-gamecocks/football/2019/industry-comparison-commits/""><img alt=""south carolina gamecocks Avatar"" class=""NilPlayerRankingItem_statusLogo__h2SDo"" height=""30"" loading=""lazy"" src=""https://on3static.com/uploads/assets/233/150/150233.svg"" title=""south carolina gamecocks"" width=""30""/></a>",NA
Football,15,Emeka Egbuka,"SteilacoomSteilacoom, WA",97.86,WR,JR,86K,$946K,"<a class=""MuiTypography-root MuiLink-root MuiLink-underlineHover MuiTypography-colorPrimary"" href=""/college/ohio-state-buckeyes/football/2021/industry-comparison-commits/""><img alt=""ohio state buckeyes Avatar"" class=""NilPlayerRankingItem_statusLogo__h2SDo"" height=""30"" loading=""lazy"" src=""https://on3static.com/uploads/assets/126/150/150126.svg"" title=""ohio state buckeyes"" width=""30""/></a>",NA
Football,16,Quinshon Judkins,"Pike RoadPike Road, AL",88.28,RB,SO,108K,$911K,"<a class=""MuiTypography-root MuiLink-root MuiLink-underlineHover MuiTypography-colorPrimary"" href=""/college/ole-miss-rebels/football/2022/industry-comparison-commits/""><img alt=""ole miss rebels Avatar"" class=""NilPlayerRankingItem_statusLogo__h2SDo"" height=""30"" loading=""lazy"" src=""https://on3static.com/uploads/assets/130/150/150130.svg"" title=""ole miss rebels"" width=""30""/></a>",NA
Football,17,Malachi Nelson,"Los AlamitosLos Alamitos, CA",98.80,QB,FR,162K,$885K,"<a class=""MuiTypography-root MuiLink-root MuiLink-underlineHover MuiTypography-colorPrimary"" href=""/college/usc-trojans/football/2023/industry-comparison-commits/""><img alt=""usc trojans Avatar"" class=""NilPlayerRankingItem_statusLogo__h2SDo"" height=""30"" loading=""lazy"" src=""https://on3static.com/uploads/assets/306/150/150306.svg"" title=""usc trojans"" width=""30""/></a>",NA
Football,18,Evan Stewart,"LibertyFrisco, TX",98.43,WR,SO,2.4M,$871K,"<a class=""MuiTypography-root MuiLink-root MuiLink-underlineHover MuiTypography-colorPrimary"" href=""/college/texas-am-aggies/football/2022/industry-comparison-commits/""><img alt=""texas am aggies Avatar"" class=""NilPlayerRankingItem_statusLogo__h2SDo"" height=""30"" loading=""lazy"" src=""https://on3static.com/uploads/assets/270/150/150270.svg"" title=""texas am aggies"" width=""30""/></a>",NA
Football,19,Dante Moore,"Martin Luther KingDetroit, MI",99.22,QB,FR,62K,$869K,"<a class=""MuiTypography-root MuiLink-root MuiLink-underlineHover MuiTypography-colorPrimary"" href=""/college/ucla-bruins/football/2023/industry-comparison-commits/""><img alt=""ucla bruins Avatar"" class=""NilPlayerRankingItem_statusLogo__h2SDo"" height=""30"" loading=""lazy"" src=""https://on3static.com/uploads/assets/294/150/150294.svg"" title=""ucla bruins"" width=""30""/></a>",NA
Football,20,Nick Singleton,"Governor MifflinReading, PA",97.17,RB,SO,46K,$864K,"<a class=""MuiTypography-root MuiLink-root MuiLink-underlineHover MuiTypography-colorPrimary"" href=""/college/penn-state-nittany-lions/football/2022/industry-comparison-commits/""><img alt=""penn state nittany lions Avatar"" class=""NilPlayerRankingItem_statusLogo__h2SDo"" height=""30"" loading=""lazy"" src=""https://on3static.com/uploads/assets/800/149/149800.svg"" title=""penn state nittany lions"" width=""30""/></a>",NA
Football,21,Jayden Daniels,"CajonSan Bernardino, CA",95.60,QB,SR,95K,$853K,"<a class=""MuiTypography-root MuiLink-root MuiLink-underlineHover MuiTypography-colorPrimary"" href=""/college/lsu-tigers/football/2019/industry-comparison-commits/""><img alt=""lsu tigers Avatar"" class=""NilPlayerRankingItem_statusLogo__h2SDo"" height=""30"" loading=""lazy"" src=""https://on3static.com/uploads/assets/10/150/150010.svg"" title=""lsu tigers"" width=""30""/></a>",NA
