Sport,PlayerRank,PlayerName,PlayerHomeTown,StarRating,PlayerPosition,PlayerStatus,TotalFollowersOnSocialMedia,On3NilValuation,RankingAvailable,AlternativePlayerlink
Basketball,3,Jalen Wilson,"GuyerDenton, TX",95.78,SF,,221K,$926K,"<a class=""MuiTypography-root MuiLink-root MuiLink-underlineHover MuiTypography-colorPrimary"" href=""/college/kansas-jayhawks/basketball/2019/industry-comparison-commits/""><img alt=""kansas jayhawks Avatar"" class=""NilPlayerRankingItem_statusLogo__h2SDo"" height=""30"" loading=""lazy"" src=""https://on3static.com/uploads/assets/810/149/149810.svg"" title=""kansas jayhawks"" width=""30""/></a>",NA
Basketball,4,Trayce Jackson-Davis,"Center GroveGreenwood, IN",97.07,C,JR,160K,$897K,"<a class=""MuiTypography-root MuiLink-root MuiLink-underlineHover MuiTypography-colorPrimary"" href=""/college/indiana-hoosiers/basketball/2019/industry-comparison-commits/""><img alt=""indiana hoosiers Avatar"" class=""NilPlayerRankingItem_statusLogo__h2SDo"" height=""30"" loading=""lazy"" src=""https://on3static.com/uploads/assets/973/149/149973.svg"" title=""indiana hoosiers"" width=""30""/></a>",NA
Basketball,5,Brandon Miller,"Cane RidgeAntioch, TN",98.54,SF,FR,73K,$870K,"<a class=""MuiTypography-root MuiLink-root MuiLink-underlineHover MuiTypography-colorPrimary"" href=""/college/alabama-crimson-tide/basketball/2022/industry-comparison-commits/""><img alt=""alabama crimson tide Avatar"" class=""NilPlayerRankingItem_statusLogo__h2SDo"" height=""30"" loading=""lazy"" src=""https://on3static.com/uploads/assets/728/149/149728.svg"" title=""alabama crimson tide"" width=""30""/></a>",NA
Basketball,6,Zach Edey,"IMG AcademyBradenton, FL",83.83,C,JR,53K,$829K,"<a class=""MuiTypography-root MuiLink-root MuiLink-underlineHover MuiTypography-colorPrimary"" href=""/nil/athlete-network/""><svg fill=""none"" height=""1em"" viewbox=""0 0 16 19"" width=""1em"" xmlns=""http://www.w3.org/2000/svg""><path d=""M.005 3.13 7.475 0l7.47 3.13c.029.129.044.116.05.09.007-.025.006-.062 0 0-.012.154-.05.937-.05 4.133 0 5.884-4.928 9.857-7.47 11.109-6.22-2.88-7.571-8.605-7.47-11.109V3.13Z"" fill=""#29F085""></path><path d=""M10.448 12h1.25l-2.86-6.51c-.14-.3-.3-.57-.49-.79-.19-.22-.47-.33-.85-.33-.39 0-.68.12-.86.35-.18.23-.35.52-.51.88L3.298 12h1.23l.86-2.02h4.2l.86 2.02Zm-3.26-6.26c.05-.12.1-.2.14-.24.04-.04.1-.06.16-.06s.11.03.16.07c.04.04.09.12.14.24l1.35 3.17h-3.3l1.35-3.18Z"" fill=""#3B4147""></path></svg></a>",NA
Basketball,7,Adama Sanogo,"The Patrick SchoolCentereach, NY",94.35,PF,JR,10.7K,$776K,"<a class=""MuiTypography-root MuiLink-root MuiLink-underlineHover MuiTypography-colorPrimary"" href=""/college/connecticut-huskies/basketball/2020/industry-comparison-commits/""><img alt=""connecticut huskies Avatar"" class=""NilPlayerRankingItem_statusLogo__h2SDo"" height=""30"" loading=""lazy"" src=""https://on3static.com/uploads/assets/896/149/149896.svg"" title=""connecticut huskies"" width=""30""/></a>",NA
Basketball,8,Caleb Love,"Christian Brothers CollegeSaint Louis, MO",98.98,CG,JR,425K,$747K,"<a class=""MuiTypography-root MuiLink-root MuiLink-underlineHover MuiTypography-colorPrimary"" href=""/college/michigan-wolverines/basketball/2020/industry-comparison-commits/""><img alt=""michigan wolverines Avatar"" class=""NilPlayerRankingItem_statusLogo__h2SDo"" height=""30"" loading=""lazy"" src=""https://on3static.com/uploads/assets/39/150/150039.svg"" title=""michigan wolverines"" width=""30""/></a>",NA
Basketball,9,Oscar Tshiebwe,"Kennedy CatholicHermitage, PA",97.55,C,NA,135K,$643K,NA,"<a class=""MuiTypography-root MuiLink-root MuiLink-underlineNone MuiTypography-h5 MuiTypography-colorPrimary"" href=""/db/oscar-tshiebwe-94665/nil/"">Oscar Tshiebwe</a>"
Basketball,10,Drew Timme,"PearceRichardson, TX",96.51,C,SR,120K,$637K,"<a class=""MuiTypography-root MuiLink-root MuiLink-underlineHover MuiTypography-colorPrimary"" href=""/college/gonzaga-bulldogs/basketball/2019/industry-comparison-commits/""><img alt=""gonzaga bulldogs Avatar"" class=""NilPlayerRankingItem_statusLogo__h2SDo"" height=""30"" loading=""lazy"" src=""https://on3static.com/uploads/assets/956/149/149956.svg"" title=""gonzaga bulldogs"" width=""30""/></a>",NA
Basketball,11,Jaime Jaquez,"Adolfo CamarilloCamarillo, CA",93.69,SF,SR,69K,$590K,"<a class=""MuiTypography-root MuiLink-root MuiLink-underlineHover MuiTypography-colorPrimary"" href=""/college/ucla-bruins/basketball/2019/industry-comparison-commits/""><img alt=""ucla bruins Avatar"" class=""NilPlayerRankingItem_statusLogo__h2SDo"" height=""30"" loading=""lazy"" src=""https://on3static.com/uploads/assets/294/150/150294.svg"" title=""ucla bruins"" width=""30""/></a>",NA
Basketball,12,Armando Bacot,"IMG AcademyBradenton, FL",98.13,C,SR,251K,$555K,"<a class=""MuiTypography-root MuiLink-root MuiLink-underlineHover MuiTypography-colorPrimary"" href=""/college/north-carolina-tar-heels/basketball/2019/industry-comparison-commits/""><img alt=""north carolina tar heels Avatar"" class=""NilPlayerRankingItem_statusLogo__h2SDo"" height=""30"" loading=""lazy"" src=""https://on3static.com/uploads/assets/102/150/150102.svg"" title=""north carolina tar heels"" width=""30""/></a>",NA
Basketball,13,Amari Bailey,"Sierra CanyonChatsworth, CA",98.62,CG,FR,566K,$551K,"<a class=""MuiTypography-root MuiLink-root MuiLink-underlineHover MuiTypography-colorPrimary"" href=""/college/ucla-bruins/basketball/2022/industry-comparison-commits/""><img alt=""ucla bruins Avatar"" class=""NilPlayerRankingItem_statusLogo__h2SDo"" height=""30"" loading=""lazy"" src=""https://on3static.com/uploads/assets/294/150/150294.svg"" title=""ucla bruins"" width=""30""/></a>",NA
Basketball,14,Marcus Sasser,"Red OakRed Oak, TX",NA,PG,SR,32K,$546K,"<a class=""MuiTypography-root MuiLink-root MuiLink-underlineHover MuiTypography-colorPrimary"" href=""/college/houston-cougars/basketball/2019/industry-comparison-commits/""><img alt=""houston cougars Avatar"" class=""NilPlayerRankingItem_statusLogo__h2SDo"" height=""30"" loading=""lazy"" src=""https://on3static.com/uploads/assets/805/149/149805.svg"" title=""houston cougars"" width=""30""/></a>",NA
Basketball,15,Azuolas Tubelis,LithuaniaVilnius,NA,PF,JR,45K,$533K,"<a class=""MuiTypography-root MuiLink-root MuiLink-underlineHover MuiTypography-colorPrimary"" href=""/college/arizona-wildcats/basketball/2020/industry-comparison-commits/""><img alt=""arizona wildcats Avatar"" class=""NilPlayerRankingItem_statusLogo__h2SDo"" height=""30"" loading=""lazy"" src=""https://on3static.com/uploads/assets/752/149/149752.svg"" title=""arizona wildcats"" width=""30""/></a>",NA
Basketball,16,Markquis Nowell,"St. PatrickElizabeth, NJ",78.86,PG,SR,142K,$501K,"<a class=""MuiTypography-root MuiLink-root MuiLink-underlineHover MuiTypography-colorPrimary"" href=""/college/kansas-state-wildcats/basketball/2018/industry-comparison-commits/""><img alt=""kansas state wildcats Avatar"" class=""NilPlayerRankingItem_statusLogo__h2SDo"" height=""30"" loading=""lazy"" src=""https://on3static.com/uploads/assets/811/149/149811.svg"" title=""kansas state wildcats"" width=""30""/></a>",NA
Basketball,17,Emoni Bates,"Ypsi Prep AcademyYpsilanti, MI",99.40,SF,SO,503K,$468K,"<a class=""MuiTypography-root MuiLink-root MuiLink-underlineHover MuiTypography-colorPrimary"" href=""/college/eastern-michigan-eagles/basketball/2021/industry-comparison-commits/""><img alt=""eastern michigan eagles Avatar"" class=""NilPlayerRankingItem_statusLogo__h2SDo"" height=""30"" loading=""lazy"" src=""https://on3static.com/uploads/assets/920/149/149920.svg"" title=""eastern michigan eagles"" width=""30""/></a>",NA
Basketball,18,Gradey Dick,"Sunrise ChristianWichita, KS",98.34,SF,FR,347K,$403K,"<a class=""MuiTypography-root MuiLink-root MuiLink-underlineHover MuiTypography-colorPrimary"" href=""/college/kansas-jayhawks/basketball/2022/industry-comparison-commits/""><img alt=""kansas jayhawks Avatar"" class=""NilPlayerRankingItem_statusLogo__h2SDo"" height=""30"" loading=""lazy"" src=""https://on3static.com/uploads/assets/810/149/149810.svg"" title=""kansas jayhawks"" width=""30""/></a>",NA
Basketball,19,Kyle Filipowski,"Wilbraham & Monson AcademyWilbraham, MA",99.26,PF,FR,46K,$400K,"<a class=""MuiTypography-root MuiLink-root MuiLink-underlineHover MuiTypography-colorPrimary"" href=""/college/duke-blue-devils/basketball/2022/industry-comparison-commits/""><img alt=""duke blue devils Avatar"" class=""NilPlayerRankingItem_statusLogo__h2SDo"" height=""30"" loading=""lazy"" src=""https://on3static.com/uploads/assets/912/149/149912.svg"" title=""duke blue devils"" width=""30""/></a>",NA
Basketball,20,Cam Whitmore,"Archbishop SpaldingSevern, MD",98.77,SF,FR,42K,$399K,"<a class=""MuiTypography-root MuiLink-root MuiLink-underlineHover MuiTypography-colorPrimary"" href=""/college/villanova-wildcats/basketball/2022/industry-comparison-commits/""><img alt=""villanova wildcats Avatar"" class=""NilPlayerRankingItem_statusLogo__h2SDo"" height=""30"" loading=""lazy"" src=""https://on3static.com/uploads/assets/329/150/150329.svg"" title=""villanova wildcats"" width=""30""/></a>",NA
Basketball,21,Kris Murray,"DME AcademyDaytona Beach, FL",84.50,SF,JR,19.1K,$379K,"<a class=""MuiTypography-root MuiLink-root MuiLink-underlineHover MuiTypography-colorPrimary"" href=""/college/iowa-hawkeyes/basketball/2020/industry-comparison-commits/""><img alt=""iowa hawkeyes Avatar"" class=""NilPlayerRankingItem_statusLogo__h2SDo"" height=""30"" loading=""lazy"" src=""https://on3static.com/uploads/assets/976/149/149976.svg"" title=""iowa hawkeyes"" width=""30""/></a>",NA
Basketball,22,Jalen Pickett,"SPIRE AcademyRochester, NY",NA,PG,SR,8K,$373K,"<a class=""MuiTypography-root MuiLink-root MuiLink-underlineHover MuiTypography-colorPrimary"" href=""/college/penn-state-nittany-lions/basketball/2018/industry-comparison-commits/""><img alt=""penn state nittany lions Avatar"" class=""NilPlayerRankingItem_statusLogo__h2SDo"" height=""30"" loading=""lazy"" src=""https://on3static.com/uploads/assets/800/149/149800.svg"" title=""penn state nittany lions"" width=""30""/></a>",NA
Basketball,23,Tyler Kolek,"St George's SchoolCumberland, RI",NA,CG,NA,12.8K,$370K,NA,"<a class=""MuiTypography-root MuiLink-root MuiLink-underlineNone MuiTypography-h5 MuiTypography-colorPrimary"" href=""/db/tyler-kolek-160203/nil/"">Tyler Kolek</a>"
Basketball,24,Keyontae Johnson,"Oak HillOak Hill, WV",94.72,SF,SR,23K,$368K,"<a class=""MuiTypography-root MuiLink-root MuiLink-underlineHover MuiTypography-colorPrimary"" href=""/college/kansas-state-wildcats/basketball/2018/industry-comparison-commits/""><img alt=""kansas state wildcats Avatar"" class=""NilPlayerRankingItem_statusLogo__h2SDo"" height=""30"" loading=""lazy"" src=""https://on3static.com/uploads/assets/811/149/149811.svg"" title=""kansas state wildcats"" width=""30""/></a>",NA
Basketball,25,Tosan Evbuomwan,Royal Grammar SchoolNewcastle Upon Tyne,NA,PF,JR,4.4K,$362K,"<a class=""MuiTypography-root MuiLink-root MuiLink-underlineHover MuiTypography-colorPrimary"" href=""/college/princeton-tigers/basketball/2019/industry-comparison-commits/""><img alt=""princeton tigers Avatar"" class=""NilPlayerRankingItem_statusLogo__h2SDo"" height=""30"" loading=""lazy"" src=""https://on3static.com/uploads/assets/148/150/150148.svg"" title=""princeton tigers"" width=""30""/></a>",NA
Basketball,26,Anthony Black,"DuncanvilleCoppell, TX",98.50,CG,FR,125K,$309K,"<a class=""MuiTypography-root MuiLink-root MuiLink-underlineHover MuiTypography-colorPrimary"" href=""/college/arkansas-razorbacks/basketball/2022/industry-comparison-commits/""><img alt=""arkansas razorbacks Avatar"" class=""NilPlayerRankingItem_statusLogo__h2SDo"" height=""30"" loading=""lazy"" src=""https://on3static.com/uploads/assets/748/149/149748.svg"" title=""arkansas razorbacks"" width=""30""/></a>",NA
Basketball,27,B. Artis-White,"CantonCanton, MI",NA,PG,,1.8M,$308K,"<a class=""MuiTypography-root MuiLink-root MuiLink-underlineHover MuiTypography-colorPrimary"" href=""/college/western-michigan-broncos/basketball/2019/industry-comparison-commits/""><img alt=""western michigan broncos Avatar"" class=""NilPlayerRankingItem_statusLogo__h2SDo"" height=""30"" loading=""lazy"" src=""https://on3static.com/uploads/assets/792/149/149792.svg"" title=""western michigan broncos"" width=""30""/></a>",NA
Basketball,28,Jahvon Quinerly,"Hudson CatholicJersey City, NJ",98.57,PG,,444K,$302K,"<a class=""MuiTypography-root MuiLink-root MuiLink-underlineHover MuiTypography-colorPrimary"" href=""/college/alabama-crimson-tide/basketball/2018/industry-comparison-commits/""><img alt=""alabama crimson tide Avatar"" class=""NilPlayerRankingItem_statusLogo__h2SDo"" height=""30"" loading=""lazy"" src=""https://on3static.com/uploads/assets/728/149/149728.svg"" title=""alabama crimson tide"" width=""30""/></a>",NA
Basketball,29,Hunter Dickinson,"DeMatha CatholicHyattsville, MD",96.29,C,NA,94K,$282K,NA,"<a class=""MuiTypography-root MuiLink-root MuiLink-underlineNone MuiTypography-h5 MuiTypography-colorPrimary"" href=""/db/hunter-dickinson-48425/nil/"">Hunter Dickinson</a>"
Basketball,30,Keyonte George,"IMG AcademyDallas, TX",98.93,SG,FR,162K,$274K,"<a class=""MuiTypography-root MuiLink-root MuiLink-underlineHover MuiTypography-colorPrimary"" href=""/college/baylor-bears/basketball/2022/industry-comparison-commits/""><img alt=""baylor bears Avatar"" class=""NilPlayerRankingItem_statusLogo__h2SDo"" height=""30"" loading=""lazy"" src=""https://on3static.com/uploads/assets/735/149/149735.svg"" title=""baylor bears"" width=""30""/></a>",NA
Basketball,31,Cason Wallace,"RichardsonRichardson, TX",99.03,CG,FR,41K,$247K,"<a class=""MuiTypography-root MuiLink-root MuiLink-underlineHover MuiTypography-colorPrimary"" href=""/college/kentucky-wildcats/basketball/2022/industry-comparison-commits/""><img alt=""kentucky wildcats Avatar"" class=""NilPlayerRankingItem_statusLogo__h2SDo"" height=""30"" loading=""lazy"" src=""https://on3static.com/uploads/assets/984/149/149984.svg"" title=""kentucky wildcats"" width=""30""/></a>",NA
Basketball,32,Terrence Shannon,"IMG AcademyBradenton, FL",93.74,SF,SR,47K,$244K,"<a class=""MuiTypography-root MuiLink-root MuiLink-underlineHover MuiTypography-colorPrimary"" href=""/college/illinois-fighting-illini/basketball/2019/industry-comparison-commits/""><img alt=""illinois fighting illini Avatar"" class=""NilPlayerRankingItem_statusLogo__h2SDo"" height=""30"" loading=""lazy"" src=""https://on3static.com/uploads/assets/821/149/149821.svg"" title=""illinois fighting illini"" width=""30""/></a>",NA
Basketball,33,Noah Farrakhan,"The Patrick SchoolHillside, NJ",86.33,PG,NA,334K,$238K,NA,"<a class=""MuiTypography-root MuiLink-root MuiLink-underlineNone MuiTypography-h5 MuiTypography-colorPrimary"" href=""/db/noah-farrakhan-93592/nil/"">Noah Farrakhan</a>"
Basketball,34,Nick Smith,"North Little RockSherwood, AR",99.33,SG,FR,112K,$236K,"<a class=""MuiTypography-root MuiLink-root MuiLink-underlineHover MuiTypography-colorPrimary"" href=""/college/arkansas-razorbacks/basketball/2022/industry-comparison-commits/""><img alt=""arkansas razorbacks Avatar"" class=""NilPlayerRankingItem_statusLogo__h2SDo"" height=""30"" loading=""lazy"" src=""https://on3static.com/uploads/assets/748/149/149748.svg"" title=""arkansas razorbacks"" width=""30""/></a>",NA
Basketball,35,Mike Miles,"LancasterLancaster, TX",90.69,PG,JR,28K,$231K,"<a class=""MuiTypography-root MuiLink-root MuiLink-underlineHover MuiTypography-colorPrimary"" href=""/college/tcu-horned-frogs/basketball/2020/industry-comparison-commits/""><img alt=""tcu horned frogs Avatar"" class=""NilPlayerRankingItem_statusLogo__h2SDo"" height=""30"" loading=""lazy"" src=""https://on3static.com/uploads/assets/262/150/150262.svg"" title=""tcu horned frogs"" width=""30""/></a>",NA
Basketball,36,Jordan Hawkins,"DeMatha CatholicHyattsville, MD",95.46,SG,SO,21K,$228K,"<a class=""MuiTypography-root MuiLink-root MuiLink-underlineHover MuiTypography-colorPrimary"" href=""/college/connecticut-huskies/basketball/2021/industry-comparison-commits/""><img alt=""connecticut huskies Avatar"" class=""NilPlayerRankingItem_statusLogo__h2SDo"" height=""30"" loading=""lazy"" src=""https://on3static.com/uploads/assets/896/149/149896.svg"" title=""connecticut huskies"" width=""30""/></a>",NA
Basketball,37,Matthew Cleveland,"Pace AcademyAlpharetta, GA",97.77,SF,NA,15K,$227K,NA,"<a class=""MuiTypography-root MuiLink-root MuiLink-underlineNone MuiTypography-h5 MuiTypography-colorPrimary"" href=""/db/matthew-cleveland-86016/nil/"">Matthew Cleveland</a>"
Basketball,38,Isaiah Wong,"Monsignor BonnerTrenton, NJ",94.24,SG,JR,22K,$227K,"<a class=""MuiTypography-root MuiLink-root MuiLink-underlineHover MuiTypography-colorPrimary"" href=""/college/miami-hurricanes/basketball/2019/industry-comparison-commits/""><img alt=""miami hurricanes Avatar"" class=""NilPlayerRankingItem_statusLogo__h2SDo"" height=""30"" loading=""lazy"" src=""https://on3static.com/uploads/assets/81/146/146081.svg"" title=""miami hurricanes"" width=""30""/></a>",NA
Basketball,39,Kendric Davis,"Sam HoustonHouston, TX",91.43,PG,SR,8.7K,$213K,"<a class=""MuiTypography-root MuiLink-root MuiLink-underlineHover MuiTypography-colorPrimary"" href=""/college/memphis-tigers/basketball/2018/industry-comparison-commits/""><img alt=""memphis tigers Avatar"" class=""NilPlayerRankingItem_statusLogo__h2SDo"" height=""30"" loading=""lazy"" src=""https://on3static.com/uploads/assets/24/150/150024.svg"" title=""memphis tigers"" width=""30""/></a>",NA
Basketball,40,Jalen Hood-Schifino,"Montverde AcademyMontverde, FL",97.83,CG,FR,70K,$212K,"<a class=""MuiTypography-root MuiLink-root MuiLink-underlineHover MuiTypography-colorPrimary"" href=""/college/indiana-hoosiers/basketball/2022/industry-comparison-commits/""><img alt=""indiana hoosiers Avatar"" class=""NilPlayerRankingItem_statusLogo__h2SDo"" height=""30"" loading=""lazy"" src=""https://on3static.com/uploads/assets/973/149/149973.svg"" title=""indiana hoosiers"" width=""30""/></a>",NA
Basketball,41,Jarace Walker,"IMG AcademyBradenton, FL",98.64,PF,FR,47K,$202K,"<a class=""MuiTypography-root MuiLink-root MuiLink-underlineHover MuiTypography-colorPrimary"" href=""/college/houston-cougars/basketball/2022/industry-comparison-commits/""><img alt=""houston cougars Avatar"" class=""NilPlayerRankingItem_statusLogo__h2SDo"" height=""30"" loading=""lazy"" src=""https://on3static.com/uploads/assets/805/149/149805.svg"" title=""houston cougars"" width=""30""/></a>",NA
Basketball,42,Posh Alexander,"Our Saviour Lutheran SchoolBronx, NY",87.13,PG,NA,31K,$183K,NA,"<a class=""MuiTypography-root MuiLink-root MuiLink-underlineNone MuiTypography-h5 MuiTypography-colorPrimary"" href=""/db/posh-alexander-96767/nil/"">Posh Alexander</a>"
Basketball,43,Skyy Clark,"Montverde AcademyLos Angeles, CA",96.67,PG,FR,260K,$182K,"<a class=""MuiTypography-root MuiLink-root MuiLink-underlineHover MuiTypography-colorPrimary"" href=""/college/louisville-cardinals/basketball/2022/industry-comparison-commits/""><img alt=""louisville cardinals Avatar"" class=""NilPlayerRankingItem_statusLogo__h2SDo"" height=""30"" loading=""lazy"" src=""https://on3static.com/uploads/assets/5/150/150005.svg"" title=""louisville cardinals"" width=""30""/></a>",NA
Basketball,44,Zion Harmon,"Marshall CountyBenton, KY",94.69,PG,FR,246K,$174K,"<a class=""MuiTypography-root MuiLink-root MuiLink-underlineHover MuiTypography-colorPrimary"" href=""/college/bethune-cookman-wildcats/basketball/2021/industry-comparison-commits/""><img alt=""bethune cookman wildcats Avatar"" class=""NilPlayerRankingItem_statusLogo__h2SDo"" height=""30"" loading=""lazy"" src=""https://on3static.com/uploads/assets/832/149/149832.svg"" title=""bethune cookman wildcats"" width=""30""/></a>",NA
Basketball,45,Yohan Traore,"Dream City ChristianNapa, CA",98.02,PF,NA,12.4K,$173K,NA,"<a class=""MuiTypography-root MuiLink-root MuiLink-underlineNone MuiTypography-h5 MuiTypography-colorPrimary"" href=""/db/yohan-traore-122375/nil/"">Yohan Traore</a>"
Basketball,46,Marcus Carr,"Montverde AcademyMontverde, FL",89.61,PG,SR,15.8K,$173K,"<a class=""MuiTypography-root MuiLink-root MuiLink-underlineHover MuiTypography-colorPrimary"" href=""/college/texas-longhorns/basketball/2017/industry-comparison-commits/""><img alt=""texas longhorns Avatar"" class=""NilPlayerRankingItem_statusLogo__h2SDo"" height=""30"" loading=""lazy"" src=""https://on3static.com/uploads/assets/276/150/150276.svg"" title=""texas longhorns"" width=""30""/></a>",NA
Basketball,47,Matt Bradley,"San BernardinoSan Bernardino, CA",93.59,SF,SR,15.6K,$170K,"<a class=""MuiTypography-root MuiLink-root MuiLink-underlineHover MuiTypography-colorPrimary"" href=""/college/san-diego-state-aztecs/basketball/2018/industry-comparison-commits/""><img alt=""san diego state aztecs Avatar"" class=""NilPlayerRankingItem_statusLogo__h2SDo"" height=""30"" loading=""lazy"" src=""https://on3static.com/uploads/assets/211/150/150211.svg"" title=""san diego state aztecs"" width=""30""/></a>",NA
Basketball,48,Harrison Ingram,"St. Mark'sDallas, TX",98.00,SF,NA,21K,$169K,NA,"<a class=""MuiTypography-root MuiLink-root MuiLink-underlineNone MuiTypography-h5 MuiTypography-colorPrimary"" href=""/db/harrison-ingram-144085/nil/"">Harrison Ingram</a>"
Basketball,49,Tyger Campbell,"La Lumiere SchoolLa Porte, IN",92.77,PG,,78K,$168K,"<a class=""MuiTypography-root MuiLink-root MuiLink-underlineHover MuiTypography-colorPrimary"" href=""/college/ucla-bruins/basketball/2018/industry-comparison-commits/""><img alt=""ucla bruins Avatar"" class=""NilPlayerRankingItem_statusLogo__h2SDo"" height=""30"" loading=""lazy"" src=""https://on3static.com/uploads/assets/294/150/150294.svg"" title=""ucla bruins"" width=""30""/></a>",NA
Basketball,50,Allen Flanigan,"Parkview MagnetLittle Rock, AR",86.23,SF,SR,7.1K,$167K,"<a class=""MuiTypography-root MuiLink-root MuiLink-underlineHover MuiTypography-colorPrimary"" href=""/college/auburn-tigers/basketball/2019/industry-comparison-commits/""><img alt=""auburn tigers Avatar"" class=""NilPlayerRankingItem_statusLogo__h2SDo"" height=""30"" loading=""lazy"" src=""https://on3static.com/uploads/assets/732/149/149732.svg"" title=""auburn tigers"" width=""30""/></a>",NA
Basketball,51,R.J. Davis,"Archbishop StepinacWhite Plains, NY",96.07,SG,JR,178K,$165K,"<a class=""MuiTypography-root MuiLink-root MuiLink-underlineHover MuiTypography-colorPrimary"" href=""/college/north-carolina-tar-heels/basketball/2020/industry-comparison-commits/""><img alt=""north carolina tar heels Avatar"" class=""NilPlayerRankingItem_statusLogo__h2SDo"" height=""30"" loading=""lazy"" src=""https://on3static.com/uploads/assets/102/150/150102.svg"" title=""north carolina tar heels"" width=""30""/></a>",NA
Basketball,52,Johnell Davis,"21st Century CharterGary, IN",NA,SG,SO,7.5K,$165K,"<a class=""MuiTypography-root MuiLink-root MuiLink-underlineHover MuiTypography-colorPrimary"" href=""/college/florida-atlantic-owls/basketball/2020/industry-comparison-commits/""><img alt=""florida atlantic owls Avatar"" class=""NilPlayerRankingItem_statusLogo__h2SDo"" height=""30"" loading=""lazy"" src=""https://on3static.com/uploads/assets/934/149/149934.svg"" title=""florida atlantic owls"" width=""30""/></a>",NA
Basketball,53,Grant Nelson,"Devils LakeDevils Lake, ND",NA,PF,JR,10.9K,$164K,"<a class=""MuiTypography-root MuiLink-root MuiLink-underlineHover MuiTypography-colorPrimary"" href=""/college/north-dakota-state-bison/basketball/2020/industry-comparison-commits/""><img alt=""north dakota state bison Avatar"" class=""NilPlayerRankingItem_statusLogo__h2SDo"" height=""30"" loading=""lazy"" src=""https://on3static.com/uploads/assets/103/150/150103.svg"" title=""north dakota state bison"" width=""30""/></a>",NA
Basketball,54,Taylor Hendricks,"Calvary Christian AcademyFort Lauderdale, FL",95.16,PF,FR,11.8K,$164K,"<a class=""MuiTypography-root MuiLink-root MuiLink-underlineHover MuiTypography-colorPrimary"" href=""/college/ucf-knights/basketball/2022/industry-comparison-commits/""><img alt=""ucf knights Avatar"" class=""NilPlayerRankingItem_statusLogo__h2SDo"" height=""30"" loading=""lazy"" src=""https://on3static.com/uploads/assets/295/150/150295.svg"" title=""ucf knights"" width=""30""/></a>",NA
Basketball,55,GG Jackson,"Ridge ViewColumbia, SC",98.94,PF,FR,54K,$154K,"<a class=""MuiTypography-root MuiLink-root MuiLink-underlineHover MuiTypography-colorPrimary"" href=""/college/south-carolina-gamecocks/basketball/2022/industry-comparison-commits/""><img alt=""south carolina gamecocks Avatar"" class=""NilPlayerRankingItem_statusLogo__h2SDo"" height=""30"" loading=""lazy"" src=""https://on3static.com/uploads/assets/233/150/150233.svg"" title=""south carolina gamecocks"" width=""30""/></a>",NA
Basketball,56,Boogie Ellis,"Mission BaySan Diego, CA",96.80,PG,SR,144K,$153K,"<a class=""MuiTypography-root MuiLink-root MuiLink-underlineHover MuiTypography-colorPrimary"" href=""/college/usc-trojans/basketball/2019/industry-comparison-commits/""><img alt=""usc trojans Avatar"" class=""NilPlayerRankingItem_statusLogo__h2SDo"" height=""30"" loading=""lazy"" src=""https://on3static.com/uploads/assets/306/150/150306.svg"" title=""usc trojans"" width=""30""/></a>",NA
Basketball,57,MJ Rice,"Prolific PrepMouth Of Wilson, VA",97.39,SF,NA,64K,$138K,NA,"<a class=""MuiTypography-root MuiLink-root MuiLink-underlineNone MuiTypography-h5 MuiTypography-colorPrimary"" href=""/db/mj-rice-90055/nil/"">MJ Rice</a>"
Basketball,58,Brice Sensabaugh,"Lake Highland PrepOrlando, FL",95.18,SG,FR,25K,$138K,"<a class=""MuiTypography-root MuiLink-root MuiLink-underlineHover MuiTypography-colorPrimary"" href=""/college/ohio-state-buckeyes/basketball/2022/industry-comparison-commits/""><img alt=""ohio state buckeyes Avatar"" class=""NilPlayerRankingItem_statusLogo__h2SDo"" height=""30"" loading=""lazy"" src=""https://on3static.com/uploads/assets/126/150/150126.svg"" title=""ohio state buckeyes"" width=""30""/></a>",NA
Basketball,59,Jeremy Roach,"Paul VI CatholicFairfax, VA",98.46,PG,JR,72K,$136K,"<a class=""MuiTypography-root MuiLink-root MuiLink-underlineHover MuiTypography-colorPrimary"" href=""/college/duke-blue-devils/basketball/2020/industry-comparison-commits/""><img alt=""duke blue devils Avatar"" class=""NilPlayerRankingItem_statusLogo__h2SDo"" height=""30"" loading=""lazy"" src=""https://on3static.com/uploads/assets/912/149/149912.svg"" title=""duke blue devils"" width=""30""/></a>",NA
Basketball,60,Tyson Walker,"New Hampton SchoolNew Hampton, NH",NA,SG,SR,27K,$135K,"<a class=""MuiTypography-root MuiLink-root MuiLink-underlineHover MuiTypography-colorPrimary"" href=""/college/michigan-state-spartans/basketball/2019/industry-comparison-commits/""><img alt=""michigan state spartans Avatar"" class=""NilPlayerRankingItem_statusLogo__h2SDo"" height=""30"" loading=""lazy"" src=""https://on3static.com/uploads/assets/37/150/150037.svg"" title=""michigan state spartans"" width=""30""/></a>",NA
